,ExperimentName,Parameters,nbCasCovidConnuTotal-repli1,nbCasCovidConnuTotal-repli2,nbCasCovidConnuTotal-repli3,nbCasCovidConnuTotal-Mean,nbCasCovidConnuTotal-Std,nbMortTotal-repli1,nbMortTotal-repli2,nbMortTotal-repli3,nbMortTotal-Mean,nbMortTotal-Std,epidemic_duration-repli1,epidemic_duration-repli2,epidemic_duration-repli3,epidemic_duration-Mean,epidemic_duration-Std,tauxDeMortCasConnu-repli1,tauxDeMortCasConnu-repli2,tauxDeMortCasConnu-repli3,tauxDeMortCasConnu-Mean,tauxDeMortCasConnu-Std,tauxMortalitePopulationGlobale-repli1,tauxMortalitePopulationGlobale-repli2,tauxMortalitePopulationGlobale-repli3,tauxMortalitePopulationGlobale-Mean,tauxMortalitePopulationGlobale-Std,epidemicDuration-repli1,epidemicDuration-repli2,epidemicDuration-repli3,epidemicDuration-Mean,epidemicDuration-Std
21,"[0, 0, 0, 1, 1, 1]-variantVaccin5-variantDpt2","[0, 0, 0, 1, 1, 1]",655.0,1057.0,803.0,838.3333333333334,166.0066933054876,8.0,16.0,10.0,11.333333333333334,3.39934634239519,,,,,,1.2213740458015268,1.5137180700094608,1.2453300124533,1.3268073760880956,0.13252717384541646,0.00036944282941485336,0.0007388856588297067,0.0004618035367685667,0.0005233773416710423,0.00015698301636193898,20.0,37.0,43.0,33.333333333333336,9.741092797468305
22,"[0, 0, 0, 1, 1, 2]-variantVaccin5-variantDpt3","[0, 0, 0, 1, 1, 2]",1019808.0,1020046.0,1018341.0,1019398.3333333334,753.9347157118815,16840.0,16668.0,17025.0,16844.333333333332,145.7768462029855,,,,,,1.651291223445982,1.6340439548804664,1.6718368405082384,1.6523906729448956,0.015448455001907923,0.7776771559182662,0.769734135085847,0.7862205213484849,0.7778772707841993,0.00673202631555063,81.0,65.0,61.0,69.0,8.640987597877148
23,"[0, 0, 0, 1, 1, 3]-variantVaccin5-variantDpt4","[0, 0, 0, 1, 1, 3]",1571863.0,1572510.0,1572665.0,1572346.0,347.34516934407867,13041.0,13031.0,13035.0,13035.666666666666,4.109609335312651,,,,,,0.8296524569889361,0.8286751753565955,0.8288478474436706,0.8290584932630675,0.0004258705540024871,0.6022379922998878,0.6017761887631192,0.6019609101778267,0.601991697080278,0.00018978321257846645,33.0,35.0,36.0,34.666666666666664,1.247219128924647
24,"[0, 0, 0, 1, 1, 4]-variantVaccin5-variantDpt5","[0, 0, 0, 1, 1, 4]",1788244.0,1790048.0,1790628.0,1789640.0,1015.1229810553333,11230.0,11206.0,11217.0,11217.666666666666,9.809292646374775,,,,,,0.6279903637311239,0.6260167325122008,0.6264282698583961,0.6268117887005736,0.0008501451145955039,0.5186053717911003,0.5174970433028558,0.5180050271933013,0.5180358140957525,0.00045299660372934657,40.0,32.0,36.0,36.0,3.265986323710904
25,"[0, 0, 0, 1, 2, 0]-variantVaccin6-variantDpt1","[0, 0, 0, 1, 2, 0]",101.0,104.0,102.0,102.33333333333333,1.247219128924647,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,9.0,8.333333333333334,0.4714045207910317
26,"[0, 0, 0, 1, 2, 1]-variantVaccin6-variantDpt2","[0, 0, 0, 1, 2, 1]",238.0,220.0,228.0,228.66666666666666,7.363574011458174,2.0,2.0,2.0,2.0,0.0,,,,,,0.8403361344537815,0.9090909090909091,0.8771929824561403,0.8755400086669436,0.028093344414782388,9.236070735371334e-05,9.236070735371334e-05,9.236070735371334e-05,9.236070735371334e-05,0.0,9.0,5.0,12.0,8.666666666666666,2.8674417556808756
27,"[0, 0, 0, 1, 2, 2]-variantVaccin6-variantDpt3","[0, 0, 0, 1, 2, 2]",563.0,614.0,613.0,596.6666666666666,23.809428571238094,4.0,10.0,3.0,5.666666666666667,3.0912061651652345,,,,,,0.7104795737122558,1.6286644951140066,0.48939641109298526,0.9428468266397491,0.49327399214637596,0.00018472141470742668,0.0004618035367685667,0.00013854106103057003,0.00026168867083552113,0.00014275299399541035,19.0,17.0,33.0,23.0,7.118052168020874
28,"[0, 0, 0, 1, 2, 3]-variantVaccin6-variantDpt4","[0, 0, 0, 1, 2, 3]",598825.0,599777.0,595682.0,598094.6666666666,1749.7230892026569,5308.0,5433.0,5417.0,5386.0,55.53977553669682,,,,,,0.886402538304179,0.9058366692954215,0.9093778223951706,0.9005390099982571,0.010099993903861773,0.2451253173167552,0.2508978615263623,0.2501589758675326,0.24872738490355004,0.002564846477417904,85.0,99.0,90.0,91.33333333333333,5.792715732327589
29,"[0, 0, 0, 1, 2, 4]-variantVaccin6-variantDpt5","[0, 0, 0, 1, 2, 4]",1259681.0,1266200.0,1265103.0,1263661.3333333333,2849.928926989038,9595.0,9521.0,9506.0,9540.666666666666,38.90444133457716,,,,,,0.7617007798006002,0.751934923392829,0.7514012693037642,0.755012324165731,0.004734467640358541,0.4431004935294397,0.43968314735735237,0.4389904420521995,0.4405913609796639,0.0017966208604312701,74.0,89.0,80.0,81.0,6.164414002968976
30,"[0, 0, 0, 2, 0, 0]-variantVaccin7-variantDpt1","[0, 0, 0, 2, 0, 0]",254.0,222.0,318.0,264.6666666666667,39.911012125588705,5.0,0.0,4.0,3.0,2.160246899469287,,,,,,1.968503937007874,0.0,1.257861635220126,1.0754551907426666,0.8139230187775977,0.00023090176838428336,0.0,0.00018472141470742668,0.00013854106103057,9.97609658468247e-05,54.0,24.0,58.0,45.333333333333336,15.173075568988056
31,"[0, 0, 0, 2, 0, 1]-variantVaccin7-variantDpt2","[0, 0, 0, 2, 0, 1]",1243415.0,1241722.0,1240579.0,1241905.3333333333,1165.0271336849723,21481.0,21602.0,21370.0,21484.333333333332,94.74292703005445,,,,,,1.727580896160976,1.7396808625441122,1.722582761758824,1.729948173487971,0.0071781735872548935,0.9920001773325582,0.9975880001274577,0.986874158074427,0.9921541118448144,0.004375261878628526,82.0,82.0,81.0,81.66666666666667,0.4714045207910317
32,"[0, 0, 0, 2, 0, 2]-variantVaccin7-variantDpt3","[0, 0, 0, 2, 0, 2]",2017490.0,2017628.0,2017327.0,2017481.6666666667,123.02393624367937,31766.0,31906.0,31975.0,31882.333333333332,86.94953836692994,,,,,,1.5745307287768466,1.5813618764212234,1.5850181948687547,1.580303600022275,0.004346392984200348,1.466965114899029,1.473430364413789,1.476616808817492,1.4723374293767701,0.004015360433824221,32.0,33.0,39.0,34.666666666666664,3.0912061651652345
33,"[0, 0, 0, 2, 0, 3]-variantVaccin7-variantDpt4","[0, 0, 0, 2, 0, 3]",2157878.0,2157649.0,2157721.0,2157749.3333333335,95.61148234158676,17492.0,17410.0,17603.0,17501.666666666668,79.08785550821875,,,,,,0.810611165228062,0.8068967658780459,0.8158144635010736,0.8111074648690605,0.0036575098745986185,0.8077867465155769,0.8039999575140746,0.812912765773708,0.8082331566011197,0.0036523051389136885,17.0,16.0,15.0,16.0,0.816496580927726
34,"[0, 0, 0, 2, 0, 4]-variantVaccin7-variantDpt5","[0, 0, 0, 2, 0, 4]",2164894.0,2164889.0,2164932.0,2164905.0,19.200694431886227,15958.0,15715.0,15793.0,15822.0,101.3015300970326,,,,,,0.7371261595255935,0.725903268019746,0.7294917346133735,0.7308403873862376,0.004679919633520879,0.7369460839752787,0.7257242580318026,0.7293263256185973,0.7306655558752263,0.0046781404878876815,12.0,12.0,11.0,11.666666666666666,0.4714045207910317
35,"[0, 0, 0, 2, 1, 0]-variantVaccin8-variantDpt1","[0, 0, 0, 2, 1, 0]",231.0,239.0,257.0,242.33333333333334,10.873004286866726,0.0,0.0,3.0,1.0,1.4142135623730951,,,,,,0.0,0.0,1.1673151750972763,0.38910505836575876,0.5502776507288308,0.0,0.0,0.00013854106103057003,4.6180353676856677e-05,6.530888248499694e-05,43.0,29.0,47.0,39.666666666666664,7.717224601860151
36,"[0, 0, 0, 2, 1, 1]-variantVaccin8-variantDpt2","[0, 0, 0, 2, 1, 1]",1070202.0,1076983.0,1073837.0,1073674.0,2770.7299880476744,11967.0,12502.0,12251.0,12240.0,218.55129070007035,,,,,,1.1182001154922157,1.1608354078012373,1.1408621606444926,1.1399658946459819,0.017417319103390446,0.5526402924509437,0.5773467816680621,0.565755512895171,0.5652475290047256,0.010092775901062789,117.0,100.0,110.0,109.0,6.97614984548545
37,"[0, 0, 0, 2, 1, 2]-variantVaccin8-variantDpt3","[0, 0, 0, 2, 1, 2]",1972571.0,1974709.0,1973611.0,1973630.3333333333,872.9418970100791,22867.0,22901.0,22931.0,22899.666666666668,26.14489540150344,,,,,,1.1592485137417108,1.1597151782870285,1.161880431351467,1.1602813744600688,0.0011466418086192112,1.0560061475286815,1.0575762795536947,1.0589616901640004,1.0575147057487921,0.0012073805164858997,33.0,33.0,35.0,33.666666666666664,0.9428090415820634
38,"[0, 0, 0, 2, 1, 3]-variantVaccin8-variantDpt4","[0, 0, 0, 2, 1, 3]",2152749.0,2152722.0,2152860.0,2152777.0,59.715994507334464,12354.0,11979.0,12017.0,12116.666666666666,168.53552213768532,,,,,,0.5738708971645092,0.5564582886224975,0.5581877130886356,0.5628389662918808,0.007832639032912607,0.5705120893238873,0.5531944566950661,0.5549493101347865,0.5595519520512466,0.007783030019432026,16.0,17.0,17.0,16.666666666666668,0.4714045207910317
39,"[0, 0, 0, 2, 1, 4]-variantVaccin8-variantDpt5","[0, 0, 0, 2, 1, 4]",2164326.0,2164342.0,2164344.0,2164337.3333333335,8.055363982396383,10736.0,10921.0,10937.0,10864.666666666666,91.21525213593515,,,,,,0.4960435719942375,0.5045875374594219,0.5053263252052355,0.5019858115529648,0.004212608856225173,0.4957922770747332,0.5043356425049517,0.5050745281637814,0.5017341492478221,0.004212352604361129,12.0,13.0,12.0,12.333333333333334,0.4714045207910317
40,"[0, 0, 0, 2, 2, 0]-variantVaccin9-variantDpt1","[0, 0, 0, 2, 2, 0]",205.0,166.0,189.0,186.66666666666666,16.006942938057293,1.0,0.0,2.0,1.0,0.816496580927726,,,,,,0.4878048780487805,0.0,1.0582010582010581,0.5153353120832795,0.43244715553314006,4.618035367685667e-05,0.0,9.236070735371334e-05,4.618035367685667e-05,3.770610088318661e-05,36.0,26.0,24.0,28.666666666666668,5.2493385826745405
